"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.55744054207192e-23,0.504409350119645,0.373,0.301,7.59738861833304e-19,"3","NELFE"
3.35004024750441e-23,0.553999499433975,0.316,0.248,9.95196456326135e-19,"3","C15orf40"
3.36129349058035e-23,0.674813694702908,0.272,0.206,9.98539457246704e-19,"3","UTP23"
3.42278883808132e-23,0.547322378272122,0.254,0.185,1.01680788012882e-18,"3","EIF3J-DT"
4.1285223083989e-23,0.641408401972192,0.301,0.235,1.22646012215606e-18,"3","RWDD4"
4.26379504433172e-23,0.474341746891924,0.314,0.246,1.26664559381962e-18,"3","CNOT7"
4.89346528515648e-23,0.539976111238199,0.349,0.281,1.45370173226144e-18,"3","COPS7A"
6.25644922500911e-23,0.368434158677424,0.469,0.38,1.85860337127346e-18,"3","NDUFA8"
7.06023649320764e-23,0.585931104623325,0.297,0.224,2.09738445503719e-18,"3","MYADM"
8.33923619305252e-23,0.466563601190461,0.405,0.326,2.47733689587011e-18,"3","UBE2M"
1.17762952652026e-22,0.533290990181949,0.345,0.277,3.49838403443374e-18,"3","TPRKB"
1.21167345635747e-22,0.438286965919341,0.256,0.191,3.59951833680113e-18,"3","HSCB"
1.26421466526123e-22,0.47914963802756,0.321,0.249,3.75560250609153e-18,"3","TOMM40"
1.3446968947233e-22,0.376880582258811,0.399,0.326,3.9946910651545e-18,"3","PRPF8"
1.36603824617485e-22,0.424064302332457,0.403,0.325,4.05808981791162e-18,"3","FIBP"
1.38628393610747e-22,0.43887912285002,0.31,0.239,4.11823368899446e-18,"3","CYB561A3"
1.42123935943211e-22,0.78627838884973,0.25,0.184,4.22207576506496e-18,"3","HSPA2"
1.63353356323291e-22,0.78355116709792,0.259,0.198,4.85273815629601e-18,"3","NR1H2"
2.17529170131576e-22,0.315356894655617,0.35,0.28,6.46213905709873e-18,"3","GNPTG"
2.27457749193226e-22,0.397137525439667,0.408,0.335,6.75708735528317e-18,"3","TMEM179B"
2.97220259669901e-22,0.294220809789635,0.501,0.419,8.82952225401376e-18,"3","DGUOK"
3.61069312134267e-22,0.635449196499694,0.32,0.254,1.07262860555727e-17,"3","PHAX"
3.72173302727094e-22,0.461195604555181,0.38,0.307,1.10561523041138e-17,"3","MRPL15"
3.91745610095561e-22,0.36699499806369,0.317,0.246,1.16375868391088e-17,"3","CCDC90B"
4.28120154109733e-22,0.456469106691329,0.382,0.308,1.27181654181378e-17,"3","POLE4"
4.29795525394972e-22,0.554500398866614,0.354,0.285,1.27679356729084e-17,"3","ATXN7L3B"
4.65882893138033e-22,0.511929882232531,0.373,0.301,1.38399831064516e-17,"3","CHMP1B"
5.11090038783854e-22,0.511633957312872,0.404,0.333,1.5182951782152e-17,"3","IK"
5.11121193130742e-22,0.571516504491623,0.369,0.302,1.5183877284335e-17,"3","EMC10"
5.12942054731674e-22,0.502717933920274,0.382,0.314,1.52379696199138e-17,"3","MRPS11"
5.96500887357776e-22,0.394971890623153,0.427,0.348,1.77202518607374e-17,"3","MRPL14"
8.22686869520697e-22,0.310742540025302,0.423,0.348,2.44395588328514e-17,"3","HERPUD1"
8.45165315061135e-22,0.451543813855925,0.391,0.322,2.51073260145211e-17,"3","DNAJC19"
9.65648706286058e-22,0.49437399466266,0.353,0.286,2.86865261176399e-17,"3","AAMP"
1.15111659822444e-21,0.557470429884243,0.337,0.271,3.41962207834536e-17,"3","PHF5A"
1.16914995529711e-21,0.64168599774224,0.333,0.269,3.47319377220113e-17,"3","UQCC3"
1.19835664267138e-21,0.390484126304269,0.452,0.378,3.55995807838385e-17,"3","BCL7C"
1.34559354854269e-21,0.815675613611893,0.305,0.244,3.99735475465577e-17,"3","DYNLL2"
1.50703341892825e-21,0.574903657710023,0.331,0.266,4.47694417761014e-17,"3","POP5"
1.6578214206876e-21,0.355888182094949,0.378,0.31,4.92489009443664e-17,"3","GPAT4"
1.90012134197684e-21,0.626670271291695,0.285,0.222,5.6446904706106e-17,"3","GTF2F1"
2.11753721099642e-21,0.419258685735418,0.391,0.323,6.29056779270707e-17,"3","DCAF13"
2.23515452750463e-21,0.460421267186534,0.389,0.319,6.63997355485799e-17,"3","PMM1"
2.93106058540529e-21,0.694547125438302,0.263,0.199,8.7073016810635e-17,"3","ZNF703"
3.56772872370372e-21,0.547173346400538,0.299,0.23,1.05986517195066e-16,"3","ARRDC3"
5.6567365120834e-21,0.749799021247955,0.263,0.203,1.68044671564462e-16,"3","ANAPC13"
5.76961852794722e-21,0.487219553352736,0.292,0.225,1.71398057609728e-16,"3","RGS3"
6.08744425492481e-21,0.280417122642445,0.556,0.445,1.80839706481051e-16,"3","POLR2K"
6.72785726540841e-21,0.759373566415712,0.274,0.216,1.99864455783488e-16,"3","SURF2"
6.91452309359902e-21,0.583651643573944,0.264,0.201,2.05409737541546e-16,"3","CIAPIN1"
7.33691985522382e-21,0.509833711612649,0.303,0.24,2.17957878139134e-16,"3","NECAP2"
7.49687286346029e-21,0.538261629564689,0.279,0.216,2.22709602154815e-16,"3","ARCN1"
8.85544603575439e-21,0.484622461961721,0.337,0.272,2.63068735384156e-16,"3","TRABD"
1.34434365531726e-20,0.572534720716308,0.342,0.283,3.99364169685098e-16,"3","DCTD"
1.46823786990575e-20,0.452238080532144,0.396,0.324,4.361694240129e-16,"3","EVA1B"
1.94132572401737e-20,0.608828446098447,0.282,0.223,5.76709632833839e-16,"3","IMPACT"
2.063295638927e-20,0.439444946576892,0.398,0.329,6.12943235456044e-16,"3","AKT1"
2.4462903346908e-20,0.273535514993659,0.517,0.431,7.26719469726596e-16,"3","SSU72"
2.66099064040962e-20,0.64816380600475,0.308,0.247,7.90500489546485e-16,"3","TRMT10C"
2.75386743191765e-20,0.832078811466871,0.252,0.195,8.18091397999775e-16,"3","SIGMAR1"
2.79450762073209e-20,0.611110949620659,0.262,0.201,8.30164378890882e-16,"3","EBLN3P"
4.36996027429803e-20,0.676292757385742,0.286,0.226,1.29818409868571e-15,"3","POLR3H"
5.38046707829153e-20,0.316911165318017,0.466,0.391,1.59837535494807e-15,"3","ADH5"
5.47757430010002e-20,0.533150113784579,0.337,0.269,1.62722299733071e-15,"3","POP7"
5.836000631884e-20,0.533181746021834,0.38,0.316,1.73370070771378e-15,"3","CERS2"
5.84059488375381e-20,0.526963164140274,0.353,0.291,1.73506552211674e-15,"3","FAM32A"
