"Pseudotime","Group"
0.324459851842695,"CM"
0.920072724230345,"AM"
0.272272877013074,"AM"
0.100952402157364,"AM"
0.277627077751706,"CM"
2.92356634505087,"AM"
3.08361924766846,"AM"
0.315336736040351,"CM"
0.311845844212351,"AM"
0.30504349327606,"AM"
0.230405679303024,"AM"
0.27269742962112,"AM"
0.930430722089337,"AM"
0.318596950068969,"CM"
0.189920551974406,"CM"
0.203566493716463,"AM"
0.33034616978431,"AM"
0.328121883658844,"CM"
0.685563893080501,"CM"
0.178850762865962,"AM"
0.781459754392189,"CM"
0.330788929992534,"AM"
0.214071254598284,"AM"
0.287903608787881,"AM"
0.335836245511187,"AM"
0.409947641312652,"AM"
0.403724017251499,"AM"
0.388203516465069,"AM"
0.351633944730543,"AM"
0.242536027331946,"AM"
0.522236194282174,"AM"
0.323724290329203,"AM"
0.303880186721628,"AM"
0.228904322382874,"AM"
1.46870155869613,"AM"
0.234387713712808,"AM"
0.272294904474006,"AM"
0.296179932530083,"CM"
0.44902251637837,"AM"
0.210716847891768,"AM"
0.231824031547247,"AM"
0.30846192689654,"AM"
0.299701916393837,"AM"
0.251388475496172,"AM"
2.97746978213341,"AM"
0.720889805928023,"AM"
0.295078734820449,"AM"
0.342042862237559,"CM"
0.286156633062499,"AM"
0.226992743378826,"AM"
0.949988444774762,"AM"
0.191869950070375,"AM"
0.500197253906001,"AM"
1.28490409872882,"AM"
0.296877642568426,"AM"
0.252105342711379,"AM"
0.630998739476342,"CM"
0.368985367333951,"AM"
2.31786065657074,"AM"
0.305580436152317,"AM"
0.252378010806904,"AM"
0.78893347240471,"AM"
1.05049637095023,"AM"
0.258583509133032,"CM"
1.04960415451701,"CM"
0.345494093049638,"AM"
0.625004722539241,"AM"
2.13049132736651,"AM"
0.558602917483705,"CM"
0.618479781226752,"AM"
0.345927291797028,"AM"
2.43690266909886,"AM"
0.234335257548887,"CM"
1.3537289095563,"AM"
0.309132080579949,"AM"
0.788170539232335,"CM"
0.31310339246492,"CM"
0.292873943358893,"CM"
0.0872397465812557,"CM"
0.329793840650465,"AM"
0.343939657067203,"AM"
0.260986377861747,"AM"
0.32335214908497,"AM"
0.570854488170985,"AM"
1.30839845456698,"AM"
0.274095513648417,"CM"
1.81786642351285,"AM"
1.94820477955243,"AM"
0.281511158193532,"AM"
0.347835744086255,"AM"
0.290898825664085,"AM"
0.326815550429131,"CM"
0.21171875687835,"AM"
0.264367717982523,"AM"
0.241415552464644,"AM"
0.834961920524839,"AM"
0.225225491157645,"AM"
0.311748253789032,"CM"
0.274573012191556,"CM"
0.163654830374941,"CM"
0.244807758892478,"AM"
2.19076745120861,"AM"
0.257889147683691,"CM"
0.530265686356493,"CM"
0.327748396400444,"AM"
0.202516981141792,"CM"
0.254843270668197,"AM"
0.311101746610076,"CM"
0.308364540808104,"AM"
0.341570236183892,"AM"
0.102172165561573,"AM"
0.328721391894171,"AM"
0.319733422284208,"CM"
0.332958148498846,"AM"
0.239838729677622,"AM"
0.342528093477547,"AM"
0.627943621557617,"CM"
0.495999241563861,"CM"
0.592861474442536,"AM"
0.25076008064173,"AM"
1.09188246947285,"CM"
0.380160688838783,"AM"
0.264455038063912,"AM"
1.06877869344404,"AM"
0.246225513475294,"AM"
0.208071731197786,"CM"
0.266095128084016,"AM"
0.377484610317837,"AM"
0.37288552487948,"CM"
0.295103630716711,"CM"
0.281582320569919,"CM"
0.337512178262229,"AM"
0.331467445721626,"AM"
0.472312573276388,"AM"
0.310247920236794,"AM"
0.290769966563217,"AM"
0.376229712520996,"CM"
0.249643583655029,"AM"
1.07735802314768,"AM"
0.560100869812259,"AM"
0.313952589424523,"AM"
0.264147360962492,"AM"
0.2948713092195,"CM"
0.600901733911427,"AM"
0.26308273338273,"AM"
0.639112133507632,"CM"
0.364433309433416,"AM"
0.38029737099246,"AM"
0.288613076393589,"AM"
0.263110506844005,"AM"
0.628475125089185,"AM"
0.285400441027587,"CM"
0.287611498326847,"CM"
0.329359330520889,"AM"
0.316400608324118,"AM"
0.316823314569306,"AM"
0.281300165448146,"AM"
1.2674333851708,"AM"
0.347569361958705,"AM"
0.286098542780999,"AM"
0.32870460977385,"AM"
0.587763209944279,"AM"
0.257928773760462,"CM"
0.189260759123363,"AM"
0.329705276916826,"AM"
0.224413990060955,"AM"
1.11455512559406,"AM"
0.848375156060205,"CM"
0.346159382927321,"CM"
0.259395106326248,"AM"
1.19744575609463,"AM"
0.284710334001877,"AM"
0.262314144812189,"AM"
0.252737155386683,"AM"
0.231890292496736,"AM"
0.368437300908103,"AM"
0.302272168016934,"CM"
0.317451706801499,"AM"
1.20325140245252,"AM"
0.491338095099626,"AM"
0.336187504120981,"CM"
0.301432043828174,"AM"
0.279598574670934,"AM"
0.292071964012078,"CM"
1.13449135689722,"AM"
0.215811893719663,"CM"
0.518829900663154,"AM"
0.315846342122457,"CM"
1.29708865860105,"AM"
0.278760608186149,"CM"
0.261682500781115,"AM"
0.286882311559281,"AM"
0.465944892770131,"CM"
0.63765202667085,"CM"
0.216535843899214,"AM"
0.241356420382188,"CM"
0.294444570622492,"AM"
0.234533656542941,"CM"
0.379967586755736,"AM"
0.214975639208027,"CM"
0.901221275493758,"AM"
2.99302496686757,"AM"
0.837092858783016,"AM"
0.235642135561618,"AM"
0.297870934644172,"CM"
0.155060241376676,"AM"
0.503057692827564,"CM"
0.389985116121124,"AM"
0.820311247468052,"AM"
2.9802497785914,"AM"
0.314092797171039,"AM"
0.291660155535972,"AM"
0.741137188444306,"CM"
0.272760512016982,"CM"
0.874825641901995,"AM"
0.233288176164878,"AM"
0.333974959111839,"CM"
0.369947922494875,"CM"
0.295622443555346,"AM"
0.284753697124679,"AM"
0.314539473115862,"AM"
0.351205172352115,"AM"
0.336360847572319,"CM"
0.298045406951932,"CM"
0.45074599309342,"CM"
0.219202466184459,"CM"
0.281206199988466,"AM"
0.262706493730933,"AM"
0.361475368045754,"CM"
0.306346339989881,"AM"
0.273973054238916,"AM"
0.341174653982653,"AM"
0.320702745930435,"AM"
0.297776493383151,"AM"
0.28694873074671,"AM"
0.37261040293302,"CM"
0.172707279595388,"AM"
