"group","Signature","Score","p","p_adj"
"CM","Exhausted",-0.232973817055177,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.352046899792612,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.264000177650355,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.294950865407943,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.193209987569397,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.322003817520448,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.30137754292633,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.272555015807704,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.117204096609505,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",0.013348377137778,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.332053650531506,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.267389742784388,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.319677217697117,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.444552033752546,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.328030069536706,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.318945513771794,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.273372259522987,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.402513238106746,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.279543230244978,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.323677464455224,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.194740894500101,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.355573843827405,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.295296321826385,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.307818283285534,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.275445096815435,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",0.290625401962618,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.00379334748444549,9.98155367909283e-118,"1.33e-117"
"CM","Resident",0.187996848164438,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.195702678892322,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",0.114522563245576,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.208664258877465,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.251827593505891,9.86706930318095e-295,"3.95e-294"
