"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.69312929111805e-33,1.08986861884978,0.436,0.231,8.00047918512438e-29,"10","FAF1"
3.42955490881863e-33,1.09513843612646,0.439,0.231,1.01881787676275e-28,"10","CDKAL1"
5.7042218164466e-33,1.16881652843228,0.466,0.267,1.69455317501179e-28,"10","KANSL1"
7.02224166409825e-33,1.54958698143142,0.275,0.115,2.08609733115367e-28,"10","GMDS-DT"
8.69905323822271e-33,1.30414976477107,0.381,0.194,2.58422774547882e-28,"10","ERBIN"
2.40923193143342e-32,1.52326262944047,0.257,0.104,7.15710529870927e-28,"10","PBX3"
2.52482271221027e-32,1.21035921321044,0.436,0.246,7.50049083116306e-28,"10","RBMS1"
4.8294308879917e-32,0.816429211721194,0.563,0.324,1.43467903389569e-27,"10","LRBA"
7.75377947765467e-32,2.21830840591,0.252,0.109,2.30341526942687e-27,"10","KLRF1"
1.01358670734025e-31,1.21506591517331,0.381,0.193,3.01106203149568e-27,"10","FRYL"
1.34460275781011e-31,1.75023111472149,0.309,0.15,3.99441141262649e-27,"10","SYTL3"
1.48612855389928e-31,1.41048308002916,0.349,0.175,4.41484209506858e-27,"10","INPP5D"
2.51931544507573e-31,1.16931511400215,0.393,0.204,7.48413039268648e-27,"10","DYRK1A"
5.38425965071579e-31,1.44966261964562,0.284,0.125,1.59950201443814e-26,"10","CLASP2"
6.01641667389013e-31,1.07857727350393,0.42,0.222,1.78729690131254e-26,"10","VTI1A"
6.5253986946176e-31,1.62988596496539,0.27,0.117,1.93850019021005e-26,"10","CD226"
1.29669340906909e-30,1.17386234418226,0.411,0.224,3.85208711032153e-26,"10","ZCCHC7"
1.83278775454966e-30,1.49468269577356,0.273,0.119,5.44466258244068e-26,"10","SMURF2"
3.76105898566044e-30,1.26451582843719,0.349,0.175,1.11729779287015e-25,"10","RERE"
4.31379398857934e-30,1.30314831630465,0.333,0.162,1.28149878018726e-25,"10","PHF21A"
5.41163771575527e-30,1.4086805268729,0.289,0.131,1.60763521621942e-25,"10","DENND4C"
5.81638283114964e-30,0.891795822963951,0.536,0.333,1.72787284764962e-25,"10","ARID1B"
7.60812750790103e-30,1.27563672371817,0.303,0.139,2.26014643877216e-25,"10","GMDS"
9.30609199567007e-30,1.47705493505567,0.273,0.119,2.76456074915371e-25,"10","SIDT1"
1.21271929827499e-29,0.949899273226687,0.617,0.474,3.60262521938552e-25,"10","FYN"
1.32260644767742e-29,1.50052269146608,0.252,0.106,3.92906697411532e-25,"10","TRAPPC10"
1.93086904491623e-29,1.25806615535494,0.346,0.172,5.73603267173265e-25,"10","SCAPER"
1.98809046136275e-29,1.15631035056122,0.381,0.199,5.90602033357033e-25,"10","ANKRD17"
3.09233622575164e-29,1.25623688587329,0.386,0.212,9.1864032258404e-25,"10","STK10"
6.0380007423902e-29,1.41190005178473,0.317,0.155,1.79370888054186e-24,"10","PIK3CD"
6.2783793880059e-29,1.36014086652987,0.365,0.198,1.86511816479491e-24,"10","ITGAL"
8.16251863859336e-29,1.5979598927375,0.257,0.114,2.42483941196693e-24,"10","RNF125"
1.55035971754566e-28,1.02828307070988,0.4,0.211,4.60565361291289e-24,"10","BTBD9"
1.6018057636422e-28,1.37975140222586,0.293,0.137,4.75848438205188e-24,"10","CMIP"
2.44045706063443e-28,1.54733366962999,0.261,0.117,7.24986579002671e-24,"10","MNAT1"
2.95128646984133e-28,1.12091287945136,0.42,0.235,8.76738671595765e-24,"10","MBD5"
3.16923967528337e-28,1.47534687626839,0.298,0.143,9.41486030336432e-24,"10","STAU2"
6.31829390235264e-28,0.97087967768116,0.413,0.223,1.8769755695719e-23,"10","FBXL17"
6.66688234978088e-28,1.06953970766703,0.43,0.253,1.98053073964941e-23,"10","NIPBL"
8.06918115423019e-28,1.0146616007025,0.43,0.238,2.39711164548716e-23,"10","TCF12"
1.28273225675571e-27,1.42042335909242,0.314,0.159,3.81061271514417e-23,"10","ADAM10"
1.69127061073882e-27,1.20600678003068,0.342,0.173,5.0242576033218e-23,"10","WWOX"
3.49196335971692e-27,1.19447437395227,0.356,0.186,1.03735755527111e-22,"10","ETV6"
5.25527829609372e-27,1.09448886657541,0.379,0.205,1.56118552342056e-22,"10","PUM2"
6.15160902442872e-27,1.39762022594215,0.295,0.143,1.82745849288704e-22,"10","ITCH"
6.31439763284113e-27,1.34246349845246,0.333,0.172,1.87581810478811e-22,"10","ESYT2"
1.3859186990089e-26,1.04803195137962,0.478,0.311,4.11714867914573e-22,"10","ANKRD11"
1.43213282107333e-26,1.2548071348916,0.372,0.211,4.25443697156254e-22,"10","SUCLG2"
4.2049497448292e-26,1.31741413666719,0.272,0.125,1.24916442069641e-21,"10","SNHG14"
4.42511037565886e-26,1.32036594326111,0.332,0.176,1.31456753929698e-21,"10","CDK17"
5.04285419168613e-26,1.20549406711454,0.404,0.242,1.4980806947242e-21,"10","SRPK2"
5.80967122292393e-26,1.27254732666708,0.332,0.175,1.72587903019401e-21,"10","PTPN4"
6.3012023728745e-26,1.22429029698991,0.393,0.238,1.87189818890983e-21,"10","IQGAP1"
6.491221296134e-26,1.18175470022708,0.319,0.159,1.92834711044253e-21,"10","TRERF1"
6.84680920394835e-26,0.991793086763966,0.39,0.209,2.03398161021694e-21,"10","LINC01619"
6.98338976257178e-26,1.28663139646385,0.317,0.162,2.0745555967672e-21,"10","TRIP12"
8.0887551064861e-26,1.37670317357085,0.28,0.134,2.40292647948383e-21,"10","INPP4A"
1.32808817501883e-25,1.41067280126019,0.291,0.144,3.94535154152845e-21,"10","ATAD2B"
1.46311948656417e-25,1.12893182838689,0.395,0.226,4.34648905873619e-21,"10","DENND4A"
