sample,"CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation",mitotic spindle midzone assembly,mitotic spindle elongation,positive regulation of mitotic cell cycle spindle assembly checkpoint,regulation of attachment of mitotic spindle microtubules to kinetochore,attachment of mitotic spindle microtubules to kinetochore,cytoplasmic translation,ribosomal small subunit biogenesis,ribosome assembly,ribosomal large subunit biogenesis,translational elongation,stress response to copper ion,negative regulation of stress-activated protein kinase signaling cascade,protein refolding,stress response to metal ion
GSM4956804,1.0642728689581784,0.43024576345495036,0.7278618262639791,0.2658309921061187,1.0552662639060364,1.6810643714447084,-0.7543727607972976,-1.0450207322221339,-1.0679017865185165,0.8027989787698365,0.6364039286299499,-1.3390884459819048,-0.32767712532548265,-0.8170173727424713,-1.3126667699459507
GSM4956805,2.4792267934550867,-0.26925902195542123,0.19495005627445097,-0.4847655176431436,0.3802060318940152,0.16091365444371544,0.4537826581500581,0.31868955503719304,-2.0040392578236608,-0.8100680468241451,-0.08433027559542597,0.3885440020891911,-1.3982178360591184,0.24461177805588125,0.42975542650132426
GSM4956817,-1.4826536291967076,0.778442629411654,0.44915711452437107,0.530910160123705,0.1765660058730364,0.312925310417009,-0.3925777578532109,-1.0510385153530015,-0.3322646641105453,-0.568671230218513,2.116748998953176,-0.936733476384217,1.5956663275242975,-0.23051057948379763,-0.9659666942272566
GSM4956824,-1.4529427230403154,0.5648104232567552,0.2739448687468241,0.6062850042314027,-0.054900888723190114,0.02135607442325565,-0.25031327614405596,-1.1957328733090271,1.0877281059287456,0.6335922994729157,1.0283115985674796,-1.5755718926359599,1.191108272825014,0.7237192803240869,-1.6013942739239309
GSM4956826,0.2816964608177462,-0.971106663491941,-1.231027076996154,-0.8014420116371921,-1.44400860464814,-1.1292998128528764,-0.03556630728571735,0.7611104059915237,0.16746943295290057,0.2746282076823531,0.7907877185804884,0.9727129168699181,-0.5776620669048428,1.9920696259888093,0.9496377749331236
GSM4956827,1.8909034941708787,-0.07388871821912205,0.5312100146242492,-0.46113678093065735,-0.31983839914699724,0.49515319884966696,1.512492693052262,0.4181299724228334,-1.2172662285709002,0.41780063070965945,-1.5735290771292805,0.07004490720343443,-1.7183179595496811,-0.09552194021744294,0.12376419273109841
GSM4956828,2.5585010699300335,-0.1296033212933761,0.4117932859942799,-0.12524956904989432,-0.18174756363680747,-0.26058321258583944,-0.03077274614763056,-0.8849241733623684,-1.5885216594145282,0.4842206476706944,1.395071469109516,-0.09544445999244486,-1.2618640932252272,-0.2434951715136191,-0.04738050248278839
GSM4956829,0.5702798019805342,0.797626927682118,1.1540915511588854,0.6692000143289412,1.571135857883049,1.35175109094969,0.04574820251997836,-0.9767102582640484,-1.6150607239961268,-0.06142695827787949,-0.14383499526576124,-0.786175302143369,-0.39783471927990444,-1.424261303464283,-0.7545291858118237
GSM4956830,1.6558617934632485,-0.5530644517394233,0.02718231992229203,-0.06213562083536191,0.9401857338828699,1.2802442319159795,-0.6426308730775849,-0.9789412794883677,-1.0480312848249511,1.450036259082819,0.4215932716973564,-0.48446254878641554,-1.790314885388066,0.21742689787125588,-0.43294956369565124
GSM4956831,0.7819835627697937,-0.03045565562267009,0.1921505360047788,0.39906635462566503,0.5212416372505821,0.4962746248763469,-2.4617815479198835,-1.0199283784233064,-0.38632807470292674,0.7463144384881386,0.7615134870324461,-0.666407706959033,-0.47540470573356497,1.788406665250512,-0.6466452369368785
GSM4956832,1.4996127231160161,0.8014717575450616,1.1268754791606204,0.18732938276283911,1.0604739944063724,0.2696858426913134,0.6234013078185127,-0.741804322082922,-2.281855003268983,-1.1374503935411104,0.24481499151447117,-0.5287235470764431,-0.7495862127813323,0.12558894573226492,-0.4998349459966788
GSM4956833,0.29138448947977297,0.2505751201389489,0.7454118827589575,0.4373689581008161,1.2959308409634227,1.2160206018779074,-0.9416638505962381,-1.2299950135092914,-1.1593146740427924,1.0361862164369455,0.8787201597278705,-0.11313643739754264,-1.974853624268118,-0.6634287116031248,-0.06920595806753392
GSM4956834,1.9992043039995406,-0.3037789201212066,0.03703367407854021,-0.42963421762891024,-0.1473684769669331,0.29111783834605653,-0.24983438239681838,-1.0623601045523048,-0.9366830711943507,-0.4103897876987076,1.6864671041610957,0.7742151159698685,-1.7958415243713037,-0.2566192329752785,0.8044716813507127
GSM4956838,-1.7695890250308959,-0.07032528718126993,-0.3740142241631718,0.5372321746246764,-0.2631465527913915,0.9270925564548858,-0.6131953342243579,1.0730663909285503,1.5314546140375371,1.432739561316488,-1.0586584387839302,-0.44931872248124194,0.7713833040534425,-1.1984414825743854,-0.47627953418493435
GSM4956840,-1.6977404913166874,-0.09625689879941912,-0.5109413457761657,-0.9715625777432326,-1.0375208360922152,-0.2757711237147051,0.010159899264798936,-0.06021172606863135,0.15125359539587638,-0.8632630415758504,0.5551044463059837,0.847260317922276,2.397011088202182,0.7420331162202877,0.8104455777755016
GSM4956848,-2.284573905935587,-0.19659705392134053,-0.6615572287215936,-0.34733898553515186,-1.1206713132632666,-0.6787238708574567,1.16728038124121,-0.0606596922377835,0.14363287286716384,-0.18142242892373933,0.7061472729720647,1.1978962134563607,-0.16274727895555574,1.3227169090051392,1.1566181088095369
GSM4956849,2.51723387049661,-0.6475451545858986,-0.3058478224651974,-0.5180340867015238,-0.01740018570197034,-0.8172685460722947,1.097078771400772,0.6876905224791007,-0.9986818646392983,-0.6273116651130765,-0.5880268569547337,0.6669309563992986,-1.3518853314831634,0.20580132614497995,0.6972660667963946
GSM4956856,-2.317182537033026,0.0329263741478503,0.0597154487796807,0.04458312219496107,0.07793637620421552,-0.014333502735592182,-0.4457201074078627,-1.5511695846657738,1.2799854038358771,0.5111394505262425,0.13562978219944122,-0.07371139332735632,1.3185933805858356,-0.8515480045884348,-0.1068442087160567
GSM4956858,-0.3836873989920966,-0.9740108811454594,-1.2951810121336598,-0.9698022692131074,-1.3701993308278912,-0.7354476963679358,0.5417825005414016,1.4547308916400432,0.8935397027045959,0.7838598106029026,-0.3695255457576753,1.3427757845951298,-0.5355218371902077,0.3024242492120987,1.3142630323318618
GSM4956859,0.8165950342259304,0.4138876847281578,0.8547911066627699,0.8523683866035509,1.249695694794521,0.21359893810400535,0.5340671572374214,-1.609260037796204,-1.8638881568437518,-1.7909732125138458,0.4926445849386727,0.10433409184653383,-0.5072705377414914,0.09593277259966111,0.14347649315406977
GSM4956863,-0.28131908838641506,-0.825468979304078,-1.0514045644073722,-1.0131417034922625,-1.725598534415868,-1.2537202178176774,0.3484095962854389,0.9929422802081156,0.9788842648329449,0.2903992180065494,0.09558340531387965,1.3035232783793311,-0.15650340154717124,1.0139492142900643,1.2834652320545217
GSM4956864,0.07310398473356143,0.118890114626088,0.3942993683090092,0.0504717558605354,0.227232207484167,0.5500143173720353,-1.13103008249413,-1.3624000949637667,-0.4078333940063987,0.18779334068646383,-0.6140796909288295,-1.407146477009096,0.2227902173075601,0.48059070391925346,-1.382696270896453
GSM4956866,-0.08336640716814751,0.0434237784172883,0.0875664594663448,0.2013549491745417,0.3868420245980955,0.651982721651218,-2.2411789757634915,-1.2076964743055816,-0.9805712880427225,-0.3501146678249752,-0.12280426514198775,-0.4535486400518442,0.07381431015436254,0.9172929116810243,-0.42299643684412475
GSM4956868,-2.0539199337682073,0.0933722453423232,0.0032712450401156,0.1512499604236313,0.4231485426032122,0.6869166913995939,-0.06353571389931183,-0.667629077148454,0.36985885137084096,-0.21695326521979957,0.04491162588327937,-1.0274777813883045,1.6939076816907406,-0.8750110128512454,-1.0621100594784163
GSM4956869,1.450715342124768,0.43534981866097916,0.8670237720063633,0.5145279271709785,0.9235706403656767,0.8948963971424093,0.7095387883214285,-0.2893970027590297,-2.2552390120614807,-0.3094944431756066,0.03711445675513993,-0.2784435790234332,-1.4581083516787456,-1.00193420493824,-0.24012054891120715
GSM4956870,1.1797530813242303,1.3206616265312017,1.6727409195127565,-0.182574807982412,1.4424786212027716,0.3981062007845717,0.4072743231013586,-1.0887078367132195,-1.1456216755684066,-0.2037032028210432,-0.4759612516763193,-1.0010734063430755,-0.6379366906658909,-0.7156192918775762,-0.9698166088089465
GSM4956871,0.4097086686324765,0.8156570639982482,1.0385760234850707,0.32237869561590216,1.123031961625383,1.7311458022901798,0.7224630859670939,0.08111496843315531,-0.6855917055441012,-0.335881147299683,-0.7501334791776938,-1.6226967768041494,-0.4332619430803069,-0.8136046787131958,-1.6029065394283792
GSM4956872,1.0825663675686221,0.10572379422722505,0.7054638870238349,-0.23830239929607572,1.002560875975054,0.03374624576937928,0.27626019995079326,-1.2390731274284452,-2.0634443009290417,0.843204182867777,-0.2966451441475724,0.9313155585114954,-1.55740587441276,-0.5705293827664438,0.9845591170861576
GSM4956875,2.4212917787760637,-0.3781814918002038,-0.043895763860756255,0.4030468383256009,0.009318870468883387,-0.2524372733201358,1.1813803166673191,0.5503567289150558,-0.32201945828059214,-0.21980604210451368,-1.7295081966351686,0.2676945382964134,-1.5270601388394527,-0.6575523702674114,0.2973716636588982
GSM4956876,0.8347509065648508,0.651290464834412,1.034771256981301,0.18594757211701068,1.1574154357581796,0.7868391029495907,0.006697900621671872,-0.46206117554944615,-1.407340611395435,-2.333230116909436,-0.3546965324863113,-0.639957915486564,0.016737928625433326,1.1287491486873558,-0.6059133653126123
GSM4956877,-1.4997946586811755,-0.5994632593159325,-0.9570986931999262,-0.40460131185646486,-0.8098029152907849,-0.2635368204614268,0.7782438070888598,-0.10582442603312203,-1.1440399232108422,0.09178346381002755,0.18286196873408536,1.4661300756929374,1.8470211646349683,-0.01625848885638275,1.4343800169451797
