"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MIR548I1",2.42754451182824,3.15153749601195,6.2851707640822,7.65380676471184e-09,6.33110399565919e-06,9.96749519785057
"RP11.535C21.3",1.25845716755987,1.34574474092579,6.27306025046392,8.09913587163973e-09,6.56548350298603e-06,9.9141642792894
"RP11.128N14.5",1.68158557871048,1.86825689801969,6.26040902865151,8.59163421765196e-09,6.824729041699e-06,9.85849948812789
"JARID2.AS1",1.52700379225349,1.82135370815206,6.25560199148712,8.78640956022676e-09,6.824729041699e-06,9.83736145177168
"RP13.204A15.5",1.40623229884593,1.74795918492667,6.25226735914429,8.92407577247723e-09,6.824729041699e-06,9.82270215860645
"KRTAP4.16",0.685923341986507,0.431221058118007,6.2345128894322,9.69363545028928e-09,6.96297726057276e-06,9.74470922101041
"RP11.862G15.1",0.658302970357036,0.612959807959225,6.23386885902366,9.72274704359774e-09,6.96297726057276e-06,9.74188189453346
"RP11.481A20.10",1.1530752085033,1.56638181374273,6.22979877838584,9.90872720939247e-09,6.96297726057276e-06,9.72401697221722
"RP11.452H21.4",1.10432632870052,1.65670640744234,6.22934971476186,9.92946050085e-09,6.96297726057276e-06,9.72204619549255
"RP11.615I2.3",1.03153551956528,0.664355573074022,6.22271927221109,1.02406119508458e-08,6.96297726057276e-06,9.6929548061237
"MT.TA",-3.23562336479946,8.52890670223758,-6.22236879527677,1.02573238135325e-08,6.96297726057276e-06,9.69141744761985
"RP11.191G24.1",1.18031377907084,1.27243961737583,6.2168162881746,1.05256997721651e-08,6.96297726057276e-06,9.66706655776482
"RP3.500L14.2",0.815579108457208,0.878733993144403,6.21627032553989,1.05524592018419e-08,6.96297726057276e-06,9.66467271536307
"RP11.1148O4.1",0.387419175748123,0.229890060002837,6.2142723997649,1.06509570254493e-08,6.96297726057276e-06,9.65591334055567
"DUOX1",1.56812203372548,2.82547811253262,6.19714311506775,1.15334769777914e-08,7.42023633117207e-06,9.58086521954414
"CD300LG",0.854981189864679,0.600508826635957,6.18860175457979,1.20000813385814e-08,7.54722498017815e-06,9.54347720201081
"RP11.1191J2.4",0.638294433604696,0.470273001046716,6.18355369848446,1.22845453529021e-08,7.54722498017815e-06,9.52139108598127
"RP11.702H23.4",0.429699878381775,0.301328073183069,6.18346730259433,1.22894712496733e-08,7.54722498017815e-06,9.52101315832994
"RP11.497H16.5",1.73492296517763,1.05017668866294,6.17277271789903,1.29145015167248e-08,7.56317886865096e-06,9.47424912174025
"RP5.837J1.4",1.46752884238434,1.33407562259923,6.17013760810997,1.30732546829756e-08,7.56317886865096e-06,9.46273212597161
"UQCR10",-1.42085781289686,5.12017995015356,-6.16916917433986,1.31320802171169e-08,7.56317886865096e-06,9.45850004293474
"RP11.91P24.5",1.31717618730205,1.88041208243895,6.16894226559819,1.31459009939457e-08,7.56317886865096e-06,9.45750848791683
"RP11.133N21.10",1.14452698844941,1.24745637186544,6.16508751781295,1.33828913545855e-08,7.56317886865096e-06,9.44066632857704
"DIP2A.IT1",1.20818390723183,1.36288052625836,6.16424839457278,1.34350359849716e-08,7.56317886865096e-06,9.43700065201675
"RP11.65M17.3",0.709802943648486,0.587006012784593,6.15860382169038,1.37910394881916e-08,7.65723852788193e-06,9.41234832517637
"RP11.843A23.1",1.29427246544085,1.52047535230648,6.15463682423438,1.40467831665106e-08,7.69384074736496e-06,9.39502872157067
"RP11.111M22.2",0.855476084837208,1.82347815455615,6.15083350144034,1.42963599125356e-08,7.72613413299859e-06,9.37842837925072
"MYADML",1.71860168890034,1.81019162657759,6.14776956291454,1.45005905620882e-08,7.7333939034547e-06,9.3650585533011
"RP11.507K2.2",0.810999609722227,0.724455218460987,6.13934804914598,1.50768602859608e-08,7.89287242883576e-06,9.32832570834897
"IRF4",1.79163767916598,4.22351785226668,6.13082511932927,1.56830284527683e-08,7.89287242883576e-06,9.29117346839931
