"","MHC class II protein complex assembly","peptide antigen assembly with MHC class II protein complex","MHC protein complex assembly","peptide antigen assembly with MHC protein complex","CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation","mitotic spindle midzone assembly","mitotic spindle elongation","positive regulation of mitotic cell cycle spindle assembly checkpoint","regulation of attachment of mitotic spindle microtubules to kinetochore","attachment of mitotic spindle microtubules to kinetochore","cytoplasmic translation","ribosomal small subunit biogenesis","ribosome assembly","ribosomal large subunit biogenesis","translational elongation","stress response to copper ion","negative regulation of stress-activated protein kinase signaling cascade","protein refolding","stress response to metal ion","label"
"Sample16",0,0,0,0,-0.386038771359396,-0.290550492779583,-0.290550492779583,-0.322182723079431,-0.312049449977406,-0.351535042602042,0.482536778583694,0.355236343028354,0.0922597791480207,0.107721715657893,0.228684694183028,-0.10684939119585,-0.35337399221178,-0.272064704938727,-0.10684939119585,1
"Sample17",0,0,0,0,-0.482669317359608,-0.310026321050766,-0.310026321050766,-0.306417353656019,-0.291844799119989,-0.348519685610141,0.479569093190998,0.270586545206301,0.0952594309798027,0.0330843363120244,0.261389564062887,-0.28534378908014,-0.25442458183725,-0.118724055629616,-0.28534378908014,1
"Sample18",0,0,0,0,-0.473577868629533,-0.275517533934543,-0.275517533934543,-0.295666040888353,-0.263213231004145,-0.329828131308181,0.466717870021098,0.328542857380137,0.176787288851592,0.117891494389645,0.276190051414749,-0.163805155271125,-0.279193933546216,-0.20234676356413,-0.163805155271125,0
"Sample19",0,0,0,0,-0.275531888288095,-0.357079136413808,-0.357079136413808,-0.337512835027445,-0.350787911037931,-0.41028329474172,0.479003304056582,0.355236293256901,0.106958483001376,0.0812247564513263,0.231285732967332,-0.073627392008416,-0.394891471399315,-0.186024186754233,-0.073627392008416,0
"Sample20",0,0,0,0,-0.375220733707882,-0.339364562686494,-0.339364562686494,-0.336574287652918,-0.354620682246643,-0.431008461098643,0.482459137806983,0.314943711999921,0.0356000025466893,0.0762921994258928,0.264377009425631,-0.173999316715145,-0.330433127054316,-0.119118569672891,-0.173999316715145,1
"Sample21",0,0,0,0,-0.479397651671011,-0.261155365928829,-0.261155365928829,-0.318611261626297,-0.29555238244591,-0.351693055414332,0.476624964247977,0.301952603000986,0.11751281999905,0.120613825854568,0.257285056602713,-0.213865701566867,-0.287975837083924,-0.188560209869698,-0.213865701566867,0
"Sample22",0,0,0,0,-0.200126262162025,-0.312536215910694,-0.312536215910694,-0.331035417038609,-0.289280961815266,-0.403558981679284,0.49321723685803,0.289661923983645,0.0620114982028205,-0.022323160314869,0.282216488295596,-0.140612329436214,-0.33735450830603,-0.145891408475022,-0.140612329436214,0
"Sample23",0,0,0,0,-0.168759075264973,-0.286309723765818,-0.286309723765818,-0.302575747518641,-0.299802054272477,-0.355577925785089,0.474100999004429,0.350985082455778,0.114892125930926,0.0890152139890363,0.227358812249109,-0.123443084085184,-0.270331783590401,-0.324973786660026,-0.123443084085184,0
"Sample24",0,0,0,0,-0.23469106285,-0.275807258188767,-0.275807258188767,-0.269012084742394,-0.253233424898818,-0.313412303103091,0.465149198091344,0.325921683392325,0.0743536204565783,0.0717346882966717,0.267050730641399,-0.242643475532497,-0.249841602196436,-0.228699755085172,-0.242643475532497,0
"Sample25",0,0,0,0,-0.491446693869969,-0.276733031205449,-0.276733031205449,-0.253687643750075,-0.238069741264617,-0.340430170230104,0.487941348110801,0.280414939284301,0.0146814529193133,0.049943324401306,0.285339281002033,-0.313893215950924,-0.199281121771573,-0.116326138348418,-0.313893215950924,1
