"Signature","Sample","group","Score","p_value.x","p_value.y","adj_p_value"
"Cytotoxicity","GSM4956779","AM",2.00399786665484,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956780","AM",2.67311777194222,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956781","CM",2.14962751268856,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956782","CM",3.542902385055,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956783","CM",3.01093815662499,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956784","CM",2.84244525070523,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956785","AM",0.874064661116411,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956786","CM",1.99697457913723,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956787","CM",0.272783263946642,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956788","AM",1.56826734814182,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956789","AM",0.933647356277235,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956790","CM",1.5992130858545,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956791","CM",2.18817706423124,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956792","AM",0.629552497219356,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956793","CM",0.621001104230569,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956794","CM",5.57325153382638,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956795","CM",4.40307828648308,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956796","CM",3.12322076895975,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956797","AM",1.31745190204542,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956798","CM",0.126261097841538,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956799","AM",0.717409103676217,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956800","AM",0.776294603127644,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956801","AM",1.98576882049337,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956802","AM",1.03087259513402,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956803","AM",0.871522118918198,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956804","AM",1.73973249212075,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956805","AM",1.45213771939746,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956806","CM",3.53901208114192,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956807","CM",0.553769394116978,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956808","CM",2.66260226885052,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956809","CM",0.843134288794751,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956810","CM",1.04789756325948,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956811","CM",1.3044122344207,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956812","CM",0.708215746052424,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956813","CM",0.905571929627491,0.401725549319793,0.401725549319793,0.535634065759724
"Cytotoxicity","GSM4956814","CM",1.92675573504755,0.401725549319793,0.401725549319793,0.535634065759724
